#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Otu2	343	254	157	103	220	311	199	864	510	482	170	242	2058	558	166	597	376	168	264	0
Otu6	630	426	244	300	471	658	417	1637	1212	881	298	72	143	21	19	17	8	0	4	0
Otu19	104	15	6	2	7	8	44	24	50	41	22	257	563	19	88	73	27	51	99	0
Otu29	68	20	6	13	14	10	22	11	9	42	30	69	74	8	41	45	9	29	42	0
Otu60	53	2	15	14	14	11	41	52	24	21	14	49	108	12	25	32	10	31	51	0
Otu7	367	311	205	197	291	500	279	1181	780	707	297	117	433	230	146	357	251	181	267	1
Otu12	77	100	51	38	109	113	36	304	269	175	30	0	17	24	31	0	2	5	0	1
Otu26	17	39	9	1	7	11	14	77	125	70	34	3	26	17	12	16	34	13	24	0
Otu5	171	332	78	92	36	124	69	88	548	555	115	179	1233	412	190	250	233	281	425	0
Otu187	75	21	5	8	15	7	24	23	18	51	23	48	76	15	20	42	5	44	31	0
Otu89	23	4	0	2	4	7	17	10	12	23	11	11	20	1	3	18	7	16	29	0
Otu11	51	11	103	41	14	25	4	150	18	82	61	122	322	90	46	401	108	138	172	0
Otu30	26	25	12	14	4	4	28	41	48	83	29	30	41	7	10	27	11	6	14	0
Otu16	269	49	9	10	12	11	17	52	23	43	10	58	141	32	37	43	13	42	33	0
Otu123	22	1	0	0	0	0	0	0	10	4	2	0	1	0	0	0	0	0	0	0
Otu9	139	123	71	73	154	219	89	255	204	264	139	93	605	292	193	226	271	181	193	0
Otu109	18	3	0	1	2	1	10	6	5	3	3	5	10	1	8	3	1	3	7	0
Otu28	33	1	1	0	1	0	2	0	0	1	3	138	245	8	16	21	19	101	92	0
Otu3	417	487	150	219	339	548	392	1106	882	897	454	66	453	193	149	383	300	132	199	1
Otu176	3	1	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	1	0
Otu1	278	295	247	141	211	372	196	994	624	640	177	277	1334	512	205	568	421	293	335	0
Otu22	26	9	5	13	13	16	42	35	16	41	29	47	140	18	41	52	13	43	61	0
Otu20	71	2	3	1	2	5	35	33	7	6	6	92	193	11	48	104	47	38	50	0
Otu10	18	179	43	85	270	349	193	527	430	517	64	107	55	185	68	47	15	17	27	110
