#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Zotu6	424	288	153	200	313	407	265	1049	781	577	195	37	105	17	15	11	5	0	2	0
Zotu34	59	16	5	12	13	7	21	8	8	33	25	55	59	8	29	36	8	24	37	0
Zotu2	338	244	154	103	208	289	190	818	483	463	161	239	2012	537	161	581	354	159	258	0
Zotu13	99	59	58	55	70	123	51	296	199	150	75	27	109	61	35	106	70	56	66	0
Zotu5	165	306	69	78	33	110	57	69	491	513	106	176	1148	357	179	240	203	269	410	0
Zotu24	55	8	1	1	4	2	15	13	16	23	8	133	267	11	34	38	12	22	50	0
Zotu65	89	20	3	6	9	3	3	1	10	10	2	12	37	5	10	14	8	17	14	0
Zotu77	18	0	7	3	5	5	21	23	8	15	7	18	38	7	5	9	2	6	16	0
Zotu133	8	2	0	0	1	0	9	1	5	7	3	0	14	0	1	14	3	3	21	0
Zotu184	22	1	0	0	0	0	0	0	10	4	2	0	1	0	0	0	0	0	0	0
Zotu35	26	25	12	14	4	4	28	41	48	83	29	30	41	7	10	27	11	6	14	0
Zotu72	17	2	5	11	6	6	18	23	11	7	7	13	42	0	12	11	2	16	28	0
Zotu18	269	48	9	10	12	11	17	52	23	42	8	57	141	31	36	43	13	42	33	0
Zotu12	51	11	103	41	14	25	4	150	18	82	61	122	322	90	46	401	108	138	172	0
Zotu9	139	122	71	73	153	219	89	253	204	264	138	91	600	292	193	223	271	181	191	0
Zotu11	189	117	80	89	123	208	125	488	376	263	79	34	31	4	3	4	3	0	2	0
Zotu158	16	2	0	1	2	0	6	3	1	1	1	4	8	1	6	2	1	3	6	0
Zotu82	11	0	0	0	1	0	1	0	0	0	2	41	73	2	7	7	6	31	19	0
Zotu3	412	476	147	211	329	533	380	1064	852	873	442	65	445	186	149	375	292	131	197	1
Zotu1	269	288	239	139	203	364	191	962	599	622	174	275	1314	506	201	555	411	289	327	0
Zotu26	26	8	4	11	12	14	34	29	12	39	25	42	133	16	38	45	11	43	60	0
Zotu23	71	2	3	1	2	5	35	33	7	6	6	92	193	11	48	104	47	38	50	0
Zotu63	49	2	1	0	0	3	4	3	0	9	3	41	66	10	20	34	11	8	12	0
Zotu7	268	250	147	141	219	377	229	881	578	556	219	89	322	168	110	250	181	125	202	1
Zotu10	18	179	43	85	270	349	193	527	430	517	64	107	55	185	68	47	15	17	27	110
Zotu132	10	4	6	4	0	5	15	12	13	8	5	0	3	0	0	0	0	0	0	0
Zotu94	8	0	0	2	0	0	2	2	1	4	1	24	64	0	14	24	1	12	14	0
Zotu31	36	9	10	11	8	9	13	34	53	26	18	15	57	13	72	40	19	39	51	0
Zotu20	34	36	5	12	36	26	13	130	88	124	13	45	25	111	9	26	35	95	17	1
Zotu32	22	1	1	0	0	0	1	0	0	1	1	97	173	6	9	14	13	70	73	0
Zotu17	39	82	30	60	13	10	75	73	97	257	135	14	18	1	6	5	2	4	4	0
Zotu8	239	185	84	102	153	243	149	486	318	398	227	106	669	252	141	308	250	177	235	0
Zotu52	45	6	7	8	13	8	18	28	20	35	13	23	37	2	18	19	4	6	12	0
Zotu58	77	0	1	0	0	3	0	23	0	1	0	43	77	12	1	6	15	9	29	0
Zotu28	25	51	8	24	10	18	23	44	44	135	80	28	40	9	0	21	4	7	14	0
Zotu89	44	0	0	0	0	0	0	8	0	0	0	37	57	5	17	6	1	0	1	0
Zotu4	141	175	162	99	95	286	165	429	411	391	163	119	324	375	126	453	441	518	566	0
Zotu59	32	1	2	3	1	1	3	7	5	5	3	29	102	2	33	5	3	21	24	0
Zotu15	87	31	10	7	10	15	23	69	51	40	16	305	349	47	82	55	38	45	92	0
Zotu21	69	6	3	4	3	5	19	8	11	8	6	63	316	38	55	61	12	57	42	0
Zotu27	31	19	14	7	22	40	17	62	58	57	22	15	93	51	19	23	10	9	11	1
Zotu117	6	4	2	2	6	2	1	9	8	11	9	4	7	1	8	9	5	6	9	0
Zotu124	31	0	0	0	0	1	0	0	3	2	3	10	36	2	1	1	0	1	2	0
Zotu30	17	39	9	1	7	11	14	77	125	70	34	3	26	17	12	16	34	13	24	0
Zotu14	77	100	51	38	109	113	36	304	269	175	30	0	17	24	31	0	2	5	0	1
Zotu74	39	6	0	2	0	1	6	8	6	16	4	36	93	11	0	2	1	2	2	0
Zotu42	16	11	7	11	2	7	23	35	22	41	37	21	81	7	16	21	9	22	29	0
Zotu113	16	1	2	3	2	0	3	4	2	13	3	10	23	6	5	16	1	8	2	0
Zotu39	35	3	4	1	1	0	3	23	3	9	4	38	107	11	31	40	9	39	79	0
Zotu198	1	4	0	0	0	0	4	4	4	3	5	6	14	1	2	0	0	1	2	0
Zotu48	40	0	0	1	1	4	2	0	0	0	0	40	136	10	8	25	7	43	23	0
Zotu99	19	3	1	3	2	0	8	7	2	2	0	8	35	1	8	26	4	15	14	0
Zotu115	7	4	3	0	1	3	0	6	7	7	1	6	33	9	1	1	2	7	9	0
Zotu49	43	14	2	4	2	1	18	11	12	37	23	57	82	25	6	5	1	7	2	0
Zotu50	32	2	2	3	0	1	4	12	4	7	2	44	144	4	9	42	12	11	22	0
Zotu60	19	0	1	0	0	0	0	0	1	0	0	51	64	12	26	41	18	26	40	0
Zotu204	6	6	4	6	4	10	8	28	14	15	4	0	11	10	3	2	5	2	3	0
Zotu87	119	6	4	2	6	14	2	23	29	13	7	0	2	0	1	0	0	1	0	0
Zotu145	10	2	1	1	1	1	1	2	1	4	2	6	15	1	5	9	2	5	12	0
Zotu174	8	2	0	0	6	6	5	2	4	11	7	3	1	1	0	0	0	0	2	0
Zotu16	60	4	5	1	5	5	3	32	47	4	4	98	387	335	14	67	38	19	39	0
Zotu73	5	1	2	2	1	3	6	5	2	8	4	11	20	19	13	24	12	31	44	0
Zotu19	24	29	38	21	36	73	28	119	89	62	26	7	38	68	18	51	78	29	52	0
Zotu40	10	7	1	2	4	5	6	11	9	20	7	19	73	18	32	35	29	40	53	0
Zotu188	10	4	0	1	0	3	0	1	0	3	0	0	3	2	1	2	3	3	8	0
Zotu233	4	0	1	2	2	7	3	2	3	0	3	0	0	0	0	0	0	1	1	0
Zotu249	10	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Zotu29	33	28	1	4	5	8	25	14	17	26	8	108	74	6	32	14	6	41	72	0
Zotu64	20	13	2	4	2	5	14	13	17	57	22	17	43	5	6	9	2	11	5	0
Zotu143	5	0	1	0	0	0	8	9	2	3	6	4	8	0	5	9	0	8	6	0
Zotu103	3	12	3	10	0	7	7	2	21	30	26	3	8	0	7	3	1	2	4	0
Zotu122	13	2	0	2	2	6	4	9	5	15	7	11	3	1	2	1	2	13	7	0
Zotu126	8	8	5	5	5	7	11	5	14	16	6	1	3	3	4	0	1	0	5	0
Zotu85	22	9	5	3	2	4	10	14	16	58	22	9	21	0	0	0	0	0	0	0
Zotu129	7	3	1	0	1	0	1	5	3	1	0	5	37	3	7	1	1	5	6	0
Zotu254	8	9	2	3	8	13	13	63	23	25	12	1	20	6	6	12	8	1	3	0
